frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
1857,4,1,273.0,817,486,167.01490783691406,-447.556884765625,
1859,4,1,234.8,915,462,258.5399475097656,-597.6729736328125,
1867,4,1,153.7,1004,447,347.3236389160156,-698.3838500976562,
1869,4,1,104.8,1042,435,387.2695617675781,-781.1837768554688,
1871,4,1,105.5,1041,439,385.7410888671875,-753.708740234375,
1872,4,1,27.0,1048,441,392.6496276855469,-740.3988647460938,
1908,4,1,153.3,1173,514,499.2188415527344,-298.2671813964844,
1909,4,1,92.0,1196,506,522.8964233398438,-343.5372009277344,
1912,4,1,88.7,1228,485,560.3074951171875,-466.57470703125,
1914,4,1,25.0,1239,482,572.0764770507812,-484.9783020019531,
1916,4,1,58.8,1246,477,580.846923828125,-515.6427612304688,
1920,4,1,24.4,1263,469,600.8914794921875,-565.8582153320312,
1923,4,1,146.7,1271,477,605.3016967773438,-516.4833374023438,
1924,4,1,33.3,1270,480,603.03173828125,-498.1231994628906,
1952,4,2,7.9,1321,702,568.5344848632812,525.6138916015625,
1954,4,2,54.5,1320,728,560.5401611328125,614.1771240234375,
1955,4,1,54.5,1242,570,544.737548828125,-12.72419261932373,
1956,4,1,54.5,1203,507,529.1410522460938,-338.1032409667969,
1988,4,1,91.4,868,127,124.27413177490234,-4746.98291015625,
2022,4,1,465.1,955,326,296.4121398925781,-1676.8758544921875,
2024,4,1,210.6,939,359,278.27899169921875,-1367.98876953125,
2064,4,2,358.3,1208,719,481.8846130371094,584.912353515625,
2065,4,2,8.6,1203,718,478.4557189941406,581.5767822265625,
2075,4,2,276.9,1114,542,439.53515625,-148.13491821289062,
2077,4,2,119.1,1093,507,426.4910583496094,-334.9711608886719,
2078,4,2,128.9,1094,520,425.2579345703125,-263.34912109375,
2080,4,1,183.8,1076,494,412.6053771972656,-408.71173095703125,
2081,4,1,72.8,1083,501,418.1219177246094,-368.6180419921875,
2085,4,2,65.4,1061,477,400.69366455078125,-509.45050048828125,
2131,4,1,21.3,742,362,52.05318832397461,-1329.7783203125,
2132,4,1,35.2,734,364,43.79608154296875,-1312.0775146484375,
2211,4,1,276.2,1290,345,699.0033569335938,-1517.8402099609375,
2212,4,1,276.2,1311,384,697.1725463867188,-1177.567626953125,
2213,4,1,44.6,1311,381,699.145263671875,-1202.2689208984375,
2215,4,2,44.2,1317,384,703.9747924804688,-1177.8994140625,
2260,4,2,198.4,1286,722,537.601318359375,594.4235229492188,
2263,4,2,134.3,1263,644,540.6183471679688,309.5221252441406,
2271,4,2,346.8,1208,467,547.2213745117188,-576.5017700195312,
2272,4,2,187.8,1216,484,549.0699462890625,-472.1841735839844,
2274,4,2,77.2,1222,477,557.39501953125,-514.836669921875,
2276,4,2,80.3,1225,467,564.0643920898438,-577.1036376953125,
2278,4,2,83.8,1228,447,574.9437866210938,-707.1651611328125,
2280,4,2,157.2,1230,453,574.5467529296875,-667.441162109375,
2282,4,2,49.1,1233,441,582.5628051757812,-747.8939208984375,
2290,4,2,25.1,1235,459,577.1666259765625,-628.529052734375,
2395,4,1,3.4,1116,141,593.7882690429688,-4476.6484375,
2397,4,1,107.4,1080,146,523.02001953125,-4356.2529296875,
2405,4,1,50.3,979,167,334.8816833496094,-3897.5009765625,
2407,4,1,159.4,950,173,284.8226013183594,-3776.00732421875,
2409,4,1,67.5,962,176,305.3229064941406,-3721.464599609375,
2438,4,1,126.7,659,570,47.98658752441406,-1.12088942527771,
2441,4,1,86.6,681,580,69.48514556884766,44.89974594116211,
2443,4,1,213.1,627,599,30.982168197631836,130.95645141601562,
2536,4,2,8.1,510,626,-52.232269287109375,246.9451446533203,
2663,4,1,324.5,744,516,106.28681182861328,-275.72369384765625,
2666,4,1,145.7,722,552,96.43952178955078,-89.0761489868164,
2676,4,1,7.8,679,660,89.1715087890625,378.7982177734375,
2678,4,1,137.2,670,691,89.85137176513672,492.58966064453125,
2680,4,1,358.3,675,647,82.89082336425781,328.7591857910156,
2681,4,1,21.8,672,644,79.81184387207031,317.02642822265625,
2744,4,1,38.9,928,325,263.10589599609375,-1684.77392578125,
2746,4,1,189.7,938,306,274.3927001953125,-1880.8099365234375,
2814,4,1,7.4,1229,632,516.8128662109375,261.4884948730469,
2816,4,2,56.1,1232,658,512.8250732421875,364.79180908203125,
2818,4,1,61.9,1227,590,526.1853637695312,80.53961944580078,
2819,4,1,210.4,1222,565,528.9408569335938,-36.301761627197266,
2826,4,1,192.1,1213,497,541.7719116210938,-395.4615173339844,
2830,4,1,66.7,1220,473,556.8960571289062,-539.4164428710938,
2840,4,2,94.4,1216,501,543.2813110351562,-372.5303649902344,
2841,4,2,31.0,1215,504,541.3484497070312,-355.4025573730469,
2851,4,1,17.1,1214,571,520.3553466796875,-7.402498722076416,
2853,4,1,49.5,1214,589,515.5353393554688,76.2349853515625,
2860,4,1,7.0,1217,652,502.5735168457031,341.6737365722656,
2862,4,2,60.3,1219,678,498.3315734863281,440.337158203125,
2865,4,2,51.7,1164,513,491.14886474609375,-303.5419006347656,
2866,4,2,476.2,1146,468,485.6349792480469,-568.0271606445312,
2875,4,1,433.5,1072,298,448.3680114746094,-1978.935791015625,
2877,4,1,187.8,1060,280,437.3130798339844,-2183.711669921875,
2934,4,1,131.5,1070,473,410.0317687988281,-534.2890625,
2937,4,1,112.1,1113,473,452.03594970703125,-535.7555541992188,
2938,4,1,45.1,1120,477,457.99310302734375,-511.4200134277344,
2954,4,2,18.2,1194,571,503.17291259765625,-7.0029377937316895,
2956,4,1,49.2,1205,590,507.7228698730469,80.9332275390625,
2962,4,1,7.9,1224,645,509.6813659667969,313.9998779296875,
2964,4,1,48.7,1231,660,511.57745361328125,372.49932861328125,
2978,4,1,263.8,1289,539,596.78662109375,-167.7118682861328,
2979,4,1,134.9,1296,525,608.7176513671875,-241.68052673339844,
2982,4,1,173.1,1247,508,569.96435546875,-333.7339782714844,
2984,4,1,143.5,1237,470,574.7756958007812,-558.6823120117188,
2993,4,1,43.9,1319,533,626.31884765625,-199.742919921875,
2994,4,1,15.3,1327,534,633.1365356445312,-194.68765258789062,
3014,4,2,148.0,1329,643,593.0,304.6786193847656,
3016,4,2,7.5,1326,646,589.6326904296875,316.6766052246094,
3034,4,2,274.1,1110,749,407.8297119140625,683.41162109375,
3038,4,2,34.4,996,757,328.1563415527344,709.0650024414062,
3332,5,2,33.4,1205,347,595.2117919921875,-1493.4677734375,
3333,5,2,66.0,1207,351,595.5537109375,-1456.798828125,
3358,5,1,92.5,1233,497,560.7564697265625,-396.0645446777344,
3364,5,1,11.1,1225,484,557.7711791992188,-472.4751892089844,
3375,5,1,52.9,1224,506,549.1284790039062,-344.3408508300781,
3376,5,1,72.9,1228,499,555.306396484375,-384.366943359375,
3393,5,1,106.2,1265,419,626.339111328125,-904.5104370117188,
3394,5,1,52.4,1265,423,624.3267822265625,-875.4775390625,
